userId,itemId,rating,timestamp,movielens_id,title,genre
3272,858,5,968196102,858,"Godfather, The (1972)",Action|Crime|Drama
3272,3623,4,968196102,3623,Mission: Impossible 2 (2000),Action|Thriller
3272,110,5,968196120,110,Braveheart (1995),Action|Drama|War
3272,1193,4,968196153,1193,One Flew Over the Cuckoo's Nest (1975),Drama
3272,3392,4,968196153,3392,She-Devil (1989),Comedy
3272,2548,3,968196153,2548,"Rage: Carrie 2, The (1999)",Horror
3272,2642,4,968196153,2642,Superman III (1983),Action|Adventure|Sci-Fi
3272,3251,3,968196243,3251,Agnes of God (1985),Drama|Mystery
3272,3062,4,968196268,3062,"Longest Day, The (1962)",Action|Drama|War
3272,3152,4,968196288,3152,"Last Picture Show, The (1971)",Drama
3272,969,4,968196339,969,"African Queen, The (1951)",Action|Adventure|Romance|War
3272,50,3,968196339,50,"Usual Suspects, The (1995)",Crime|Thriller
3272,318,5,968196339,318,"Shawshank Redemption, The (1994)",Drama
3272,1507,3,968196377,1507,Paradise Road (1997),Drama|War
3272,1221,4,968196401,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama
3272,527,5,968196401,527,Schindler's List (1993),Drama|War
3272,1952,3,968196401,1952,Midnight Cowboy (1969),Drama
3272,3653,2,968196437,3653,"Endless Summer, The (1966)",Documentary
3272,1956,3,968196437,1956,Ordinary People (1980),Drama
3272,593,5,968196464,593,"Silence of the Lambs, The (1991)",Drama|Thriller
3272,1090,4,968196464,1090,Platoon (1986),Drama|War
3272,2652,3,968196490,2652,"Curse of Frankenstein, The (1957)",Horror
3272,912,4,968196490,912,Casablanca (1942),Drama|Romance|War
3272,3468,4,968196520,3468,"Hustler, The (1961)",Drama
3272,1256,4,968196520,1256,Duck Soup (1933),Comedy|War
3272,919,5,968196520,919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
3272,608,4,968196541,608,Fargo (1996),Crime|Drama|Thriller
3272,3365,5,968196590,3365,"Searchers, The (1956)",Western
3272,750,4,968196590,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
3272,1931,3,968196641,1931,Mutiny on the Bounty (1935),Adventure
3272,3871,4,968196665,3871,Shane (1953),Drama|Western
3272,497,3,968196665,497,Much Ado About Nothing (1993),Comedy|Romance
3272,1198,5,968196708,1198,Raiders of the Lost Ark (1981),Action|Adventure
3272,903,4,968196708,903,Vertigo (1958),Mystery|Thriller
3272,3760,3,968196767,3760,"Kentucky Fried Movie, The (1977)",Comedy
3272,2664,4,968196767,2664,Invasion of the Body Snatchers (1956),Horror|Sci-Fi
3272,1266,5,968196803,1266,Unforgiven (1992),Western
3272,1299,3,968196803,1299,"Killing Fields, The (1984)",Drama|War
3272,953,4,968196803,953,It's a Wonderful Life (1946),Drama
3272,2791,4,968196803,2791,Airplane! (1980),Comedy
3272,1704,4,968196803,1704,Good Will Hunting (1997),Drama
