userId,itemId,rating,timestamp,movielens_id,title,genre
4169,423,3,965333392,423,Blown Away (1994),Action|Thriller
4169,2617,4,965333392,2617,"Mummy, The (1999)",Action|Adventure|Horror|Thriller
4169,2628,4,965333392,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi
4169,2653,4,965333392,2653,Son of Dracula (1943),Horror
4169,1268,5,965333392,1268,Pump Up the Volume (1990),Drama
4169,3841,2,965333481,3841,Air America (1990),Action|Comedy
4169,3788,3,965333481,3788,Blowup (1966),Drama|Mystery
4169,3761,3,965333481,3761,"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)",Crime|Drama
4169,3801,5,965333481,3801,Anatomy of a Murder (1959),Drama|Mystery
4169,3833,1,965333519,3833,"Brain That Wouldn't Die, The (1962)",Horror|Sci-Fi
4169,3794,4,965333519,3794,Chuck & Buck (2000),Comedy|Drama
4169,3811,5,965333519,3811,Breaker Morant (1980),Drama|War
4169,3758,4,965333519,3758,Communion (1989),Drama|Sci-Fi|Thriller
4169,3834,3,965333519,3834,Bronco Billy (1980),Adventure|Drama|Romance
4169,3764,3,965333558,3764,F/X 2 (1992),Action|Crime|Thriller
4169,3783,5,965333558,3783,Croupier (1998),Crime|Drama
4169,3846,3,965333558,3846,Easy Money (1983),Comedy
4169,3812,3,965333558,3812,Everything You Always Wanted to Know About Sex (1972),Comedy
4169,3792,4,965333558,3792,Duel in the Sun (1946),Western
4169,3763,4,965333558,3763,F/X (1986),Action|Crime|Thriller
4169,3770,4,965333558,3770,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller
4169,3795,3,965333558,3795,"Five Senses, The (1999)",Drama
4169,3803,4,965333578,3803,Greaser's Palace (1972),Drama
4169,3791,3,965333578,3791,Footloose (1984),Drama
4169,3784,2,965333606,3784,"Kid, The (2000)",Comedy
4169,3765,2,965333606,3765,"Hot Spot, The (1990)",Drama|Romance
4169,3813,5,965333606,3813,Interiors (1978),Drama
4169,3836,4,965333606,3836,Kelly's Heroes (1970),Action|Comedy|War
4169,3805,3,965333636,3805,Knightriders (1981),Action|Adventure|Drama
4169,3752,3,965333636,3752,"Me, Myself and Irene (2000)",Comedy
4169,3806,3,965333636,3806,MacKenna's Gold (1969),Western
4169,3814,5,965333636,3814,Love and Death (1975),Comedy
4169,3755,4,965333672,3755,"Perfect Storm, The (2000)",Action|Adventure|Thriller
4169,3789,5,965333672,3789,"Pawnbroker, The (1965)",Drama
4169,3821,2,965333672,3821,Nutty Professor II: The Klumps (2000),Comedy
4169,3837,3,965333672,3837,Phantasm II (1988),Horror
4169,3753,4,965333672,3753,"Patriot, The (2000)",Action|Drama|War
4169,3778,4,965333672,3778,On Our Merry Way (1948),Comedy|Drama
4169,3816,5,965333672,3816,"Official Story, The (La Historia Oficial) (1985)",Drama
4169,3818,3,965333700,3818,Pot O' Gold (1941),Comedy|Musical
4169,3838,2,965333700,3838,Phantasm III: Lord of the Dead (1994),Horror
4169,3839,2,965333700,3839,Phantasm IV: Oblivion (1998),Horror
4169,3844,4,965333722,3844,Steel Magnolias (1989),Drama
4169,3819,4,965333722,3819,Tampopo (1986),Comedy
4169,3848,3,965333722,3848,Silent Fall (1994),Drama|Thriller
4169,3769,3,965333752,3769,Thunderbolt and Lightfoot (1974),Action
4169,3850,2,965333752,3850,Whatever Happened to Aunt Alice? (1969),Crime|Thriller
4169,3798,2,965333752,3798,What Lies Beneath (2000),Thriller
4169,3810,3,965333752,3810,White Sands (1992),Drama|Thriller
4169,3793,3,965333752,3793,X-Men (2000),Action|Sci-Fi
1680,2395,4,974708446,2395,Rushmore (1998),Comedy
1680,3940,3,974708446,3940,"Slumber Party Massacre III, The (1990)",Horror
1680,858,2,974708446,858,"Godfather, The (1972)",Action|Crime|Drama
1680,2628,2,974708506,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi
1680,1762,3,974708506,1762,Deep Rising (1998),Action|Horror|Sci-Fi
1680,376,4,974708506,376,"River Wild, The (1994)",Action|Thriller
1680,3051,3,974708506,3051,Anywhere But Here (1999),Drama
1680,3623,1,974708506,3623,Mission: Impossible 2 (2000),Action|Thriller
1680,1208,4,974708506,1208,Apocalypse Now (1979),Drama|War
1680,2519,2,974708665,2519,House on Haunted Hill (1958),Horror
1680,2645,3,974708665,2645,Dracula (1958),Horror
1680,2644,4,974708665,2644,Dracula (1931),Horror
1680,3018,5,974708665,3018,Re-Animator (1985),Horror
1680,735,4,974708665,735,Cemetery Man (Dellamorte Dellamore) (1994),Comedy|Horror
1680,1348,5,974708665,1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror
1680,3676,4,974708665,3676,Eraserhead (1977),Drama|Horror
1680,1219,5,974708713,1219,Psycho (1960),Horror|Thriller
1680,1214,5,974708713,1214,Alien (1979),Action|Horror|Sci-Fi|Thriller
1680,2159,2,974708713,2159,Henry: Portrait of a Serial Killer (1990),Crime|Horror
1680,2664,5,974708713,2664,Invasion of the Body Snatchers (1956),Horror|Sci-Fi
1680,1258,5,974708713,1258,"Shining, The (1980)",Horror
1680,2366,4,974708713,2366,King Kong (1933),Action|Adventure|Horror
1680,1997,4,974708761,1997,"Exorcist, The (1973)",Horror
1680,1387,5,974708761,1387,Jaws (1975),Action|Horror
1680,2716,3,974708761,2716,Ghostbusters (1984),Comedy|Horror
1680,3576,5,974708761,3576,"Hidden, The (1987)",Action|Horror|Sci-Fi
1680,841,4,974708761,841,Eyes Without a Face (1959),Horror
1680,2288,5,974708761,2288,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
1680,3932,3,974708761,3932,"Invisible Man, The (1933)",Horror|Sci-Fi
1680,1333,5,974708761,1333,"Birds, The (1963)",Horror
1680,1278,5,974708761,1278,Young Frankenstein (1974),Comedy|Horror
1680,1345,5,974708813,1345,Carrie (1976),Horror
1680,3918,3,974708813,3918,Hellbound: Hellraiser II (1988),Horror
1680,1350,3,974708813,1350,"Omen, The (1976)",Horror
1680,968,5,974708813,968,Night of the Living Dead (1968),Horror|Sci-Fi
1680,1982,5,974708813,1982,Halloween (1978),Horror
1680,775,2,974708813,775,Spirits of the Dead (Tre Passi nel Delirio) (1968),Horror
1680,2867,5,974708813,2867,Fright Night (1985),Comedy|Horror
