uid,sid,rating
0,780.0,5
0,479.0,3
0,601.0,3
0,2346.0,4
0,1589.0,5
0,783.0,3
0,869.0,5
0,1933.0,5
0,452.0,4
0,606.0,4
0,453.0,5
0,624.0,4
0,1630.0,4
0,2010.0,4
0,691.0,5
0,1921.0,4
0,1839.0,3
0,1338.0,4
0,2159.0,5
0,1927.0,4
0,1562.0,3
0,507.0,3
0,852.0,5
0,405.0,5
0,1577.0,3
0,42.0,5
0,732.0,4
0,1143.0,4
0,1036.0,4
0,520.0,3
0,1542.0,4
0,2212.0,4
0,1044.0,4
0,447.0,4
0,1239.0,4
0,535.0,4
0,1197.0,5
0,679.0,5
0,1899.0,4
0,104.0,5
0,0.0,5
0,1285.0,5
0,1286.0,4
0,1842.0,4
0,193.0,4
0,684.0,5
0,685.0,5
0,793.0,4
0,1348.0,5
0,408.0,4
0,2166.0,4
0,460.0,4
0,828.0,4
1,922.0,5
1,2125.0,4
1,1032.0,4
1,475.0,3
1,1487.0,4
1,476.0,4
1,1522.0,5
1,1800.0,3
1,736.0,3
1,2008.0,3
1,2393.0,5
1,796.0,4
1,1176.0,3
1,1127.0,3
1,799.0,2
1,2476.0,5
1,1986.0,3
1,2092.0,4
1,803.0,3
1,2159.0,4
1,325.0,2
1,1432.0,3
1,2160.0,2
1,2161.0,3
1,2097.0,4
1,835.0,3
1,1074.0,5
1,217.0,3
1,1499.0,5
1,2128.0,4
1,589.0,2
1,281.0,4
1,841.0,5
1,2186.0,5
1,1035.0,4
1,875.0,5
1,775.0,4
1,2253.0,4
1,2254.0,2
1,2255.0,3
1,84.0,5
1,1529.0,3
1,1704.0,3
1,1195.0,4
1,2396.0,5
1,448.0,4
1,1130.0,3
1,2519.0,3
1,1962.0,3
1,1269.0,5
1,652.0,4
1,1216.0,4
1,1966.0,4
1,811.0,5
1,1348.0,4
1,395.0,5
1,331.0,3
1,1555.0,3
1,196.0,4
1,960.0,3
1,720.0,3
1,2554.0,2
1,363.0,5
1,980.0,4
1,1378.0,5
1,847.0,3
1,930.0,5
1,780.0,5
1,1180.0,3
1,932.0,3
1,1587.0,4
1,2300.0,4
1,1655.0,2
1,449.0,5
1,782.0,5
1,1040.0,3
1,515.0,4
1,784.0,4
1,451.0,5
1,1592.0,3
1,76.0,2
1,1862.0,3
1,1765.0,4
1,1247.0,3
1,1629.0,4
1,2588.0,3
1,1277.0,4
1,1063.0,3
1,2642.0,3
1,1278.0,5
1,1279.0,4
1,175.0,3
1,744.0,5
1,1281.0,5
1,117.0,4
1,20.0,1
1,119.0,3
1,1562.0,3
1,725.0,2
1,292.0,5
1,1714.0,5
1,265.0,4
1,344.0,4
1,731.0,4
1,607.0,5
1,346.0,3
1,1029.0,4
1,2353.0,4
1,943.0,3
1,2381.0,4
1,2149.0,4
1,532.0,3
1,379.0,3
1,1872.0,3
1,1323.0,5
1,1286.0,5
1,1172.0,5
1,2031.0,4
1,1327.0,3
1,240.0,5
1,793.0,4
1,1292.0,2
1,2536.0,3
1,826.0,3
1,272.0,5
1,827.0,2
1,828.0,5
1,2697.0,1
1,829.0,5
2,2356.0,4
2,1094.0,2
2,476.0,3
2,950.0,4
2,2442.0,3
2,81.0,4
2,1879.0,4
2,796.0,4
2,976.0,3
2,2681.0,3
2,715.0,5
2,2072.0,3
2,1078.0,5
2,873.0,4
2,841.0,5
2,478.0,4
2,1466.0,5
2,1049.0,3
2,2501.0,2
2,193.0,5
2,1966.0,4
2,2166.0,3
2,699.0,4
2,843.0,1
2,428.0,4
2,363.0,4
2,847.0,2
2,848.0,5
2,513.0,5
2,782.0,4
2,449.0,4
2,1589.0,5
2,783.0,5
2,784.0,5
2,938.0,5
2,451.0,3
2,939.0,4
2,2458.0,5
2,886.0,5
2,852.0,3
2,1691.0,4
2,2199.0,4
2,1792.0,2
2,1285.0,4
2,2530.0,5
2,1327.0,4
2,1977.0,4
2,1421.0,4
2,1292.0,4
2,754.0,5
2,1390.0,4
3,2393.0,5
3,796.0,3
3,2039.0,4
3,800.0,4
3,692.0,4
3,193.0,5
3,1348.0,5
3,363.0,4
3,782.0,2
3,784.0,5
3,1278.0,5
3,732.0,4
3,2353.0,4
3,2557.0,4
3,1599.0,4
3,944.0,5
3,2439.0,1
3,787.0,5
3,1842.0,5
3,2035.0,5
3,822.0,5
5,1637.0,5
5,735.0,4
5,2572.0,4
5,686.0,4
5,1128.0,5
5,691.0,5
5,2476.0,4
5,278.0,4
5,2418.0,5
5,2129.0,4
5,281.0,4
5,221.0,2
5,42.0,5
5,2131.0,5
5,775.0,4
5,2425.0,3
5,447.0,4
5,0.0,4
5,696.0,4
5,1966.0,1
5,289.0,3
5,449.0,3
5,453.0,4
5,455.0,5
5,295.0,4
5,1718.0,3
5,2436.0,3
5,1044.0,4
5,1045.0,4
5,1327.0,4
5,1390.0,4
5,1391.0,3
5,2490.0,3
5,2491.0,5
5,1931.0,4
5,2442.0,4
5,2444.0,5
5,796.0,3
5,2602.0,5
5,2540.0,3
5,1337.0,3
5,2543.0,3
5,878.0,3
5,561.0,4
5,664.0,3
5,1271.0,5
5,2046.0,5
5,197.0,4
5,16.0,4
5,2554.0,4
5,979.0,4
5,723.0,5
5,599.0,4
5,147.0,5
5,601.0,5
5,2346.0,5
5,1183.0,3
5,2505.0,4
5,1690.0,3
5,1629.0,4
5,1408.0,3
5,1283.0,3
5,1562.0,3
5,940.0,5
5,607.0,4
5,437.0,4
5,1118.0,4
5,2467.0,4
5,684.0,4
5,31.0,4
6,476.0,4
6,571.0,4
6,2008.0,5
6,2476.0,3
6,2630.0,3
6,1074.0,5
6,448.0,5
6,5.0,4
6,331.0,4
6,513.0,5
6,289.0,3
6,1587.0,5
6,782.0,5
6,1765.0,5
6,292.0,5
6,1318.0,5
6,852.0,4
6,344.0,5
6,1048.0,4
6,2602.0,4
6,2160.0,3
6,358.0,5
6,1144.0,4
6,2254.0,5
6,1049.0,4
6,84.0,5
6,807.0,4
6,1348.0,5
6,363.0,4
6,265.0,5
6,2353.0,3
7,34.0,3
7,1574.0,3
7,213.0,5
7,2359.0,3
7,1522.0,3
7,995.0,4
7,949.0,5
7,1123.0,4
7,2008.0,5
7,386.0,3
7,388.0,3
7,2229.0,3
7,36.0,3
7,477.0,5
7,2417.0,3
7,221.0,5
7,2186.0,5
7,2187.0,3
7,1850.0,3
7,1529.0,3
7,998.0,3
7,1704.0,2
7,448.0,5
7,1197.0,4
7,1131.0,3
7,104.0,4
7,105.0,4
7,0.0,4
7,390.0,3
7,3.0,3
7,2077.0,3
7,1966.0,5
7,1083.0,3
7,847.0,5
7,513.0,3
7,289.0,4
7,2191.0,3
7,1655.0,5
7,47.0,5
7,1858.0,3
7,1657.0,2
7,1199.0,4
7,1765.0,5
7,1246.0,5
7,1006.0,3
7,170.0,4
7,742.0,4
7,115.0,3
7,117.0,5
7,963.0,5
7,404.0,5
7,706.0,3
7,405.0,4
7,341.0,3
7,1134.0,4
7,856.0,5
7,517.0,5
7,1137.0,5
7,859.0,3
7,1540.0,5
7,1092.0,5
7,2440.0,4
7,1545.0,3
7,2328.0,3
7,1327.0,3
7,460.0,5
7,351.0,5
7,1139.0,3
7,415.0,3
7,301.0,2
7,1669.0,4
7,922.0,4
7,60.0,4
7,2244.0,4
7,2201.0,2
7,1048.0,4
7,82.0,4
7,796.0,4
7,799.0,5
7,187.0,5
7,2159.0,4
7,2160.0,5
7,2248.0,3
7,2250.0,3
7,1143.0,5
7,360.0,3
7,2254.0,5
7,595.0,5
7,2255.0,3
7,1104.0,5
7,1049.0,4
7,84.0,5
7,85.0,5
7,2257.0,4
7,2212.0,4
7,1055.0,4
7,1343.0,3
7,13.0,4
7,1348.0,5
7,255.0,5
7,196.0,4
7,15.0,4
7,197.0,4
7,16.0,4
7,1557.0,3
7,1782.0,2
7,363.0,5
7,200.0,4
7,431.0,4
7,1180.0,3
7,2258.0,3
7,1148.0,4
7,1109.0,3
7,2263.0,5
7,1152.0,4
7,2265.0,5
7,2405.0,4
7,1629.0,5
7,1838.0,4
7,1840.0,3
7,262.0,3
7,1561.0,2
7,23.0,4
7,24.0,5
7,1564.0,3
7,265.0,4
7,434.0,5
7,1568.0,5
7,1186.0,2
7,1745.0,3
7,2353.0,3
7,1117.0,5
7,2005.0,3
7,1120.0,5
7,1842.0,5
7,683.0,4
7,1847.0,5
7,212.0,3
7,33.0,4
8,1522.0,4
8,995.0,4
8,949.0,3
8,571.0,2
8,1123.0,4
8,2572.0,3
8,388.0,3
8,2630.0,4
8,507.0,4
8,280.0,3
8,41.0,5
8,2186.0,4
8,2187.0,3
8,1080.0,4
8,1529.0,4
8,165.0,4
8,104.0,3
8,2281.0,4
8,0.0,5
8,2077.0,3
8,1966.0,4
8,2740.0,3
8,43.0,4
8,847.0,4
8,547.0,3
8,2427.0,3
8,289.0,3
8,1040.0,2
8,449.0,5
8,2430.0,3
8,1589.0,4
8,1243.0,3
8,451.0,5
8,1765.0,5
8,455.0,3
8,225.0,4
8,1169.0,4
8,116.0,4
8,404.0,4
8,2284.0,2
8,909.0,3
8,405.0,5
8,2195.0,3
8,407.0,5
8,344.0,5
8,1137.0,4
8,520.0,4
8,2382.0,2
8,1542.0,4
8,1251.0,4
8,1092.0,4
8,1253.0,5
8,1172.0,3
8,707.0,4
8,240.0,5
8,460.0,4
8,921.0,3
8,923.0,4
8,2206.0,3
8,2600.0,4
8,796.0,4
8,2656.0,2
8,799.0,4
8,2604.0,2
8,1781.0,2
8,1548.0,4
8,1013.0,4
8,2043.0,4
8,756.0,4
8,1465.0,4
8,1143.0,5
8,2251.0,4
8,2253.0,4
8,1104.0,4
8,561.0,3
8,1051.0,5
8,807.0,4
8,809.0,4
8,1991.0,5
8,1348.0,5
8,2166.0,4
8,15.0,4
8,363.0,4
8,724.0,4
8,599.0,4
8,982.0,3
8,2346.0,4
8,2504.0,4
8,530.0,5
8,2407.0,2
8,306.0,3
8,2716.0,3
8,656.0,4
8,817.0,3
8,889.0,4
8,24.0,4
8,1564.0,5
8,265.0,4
8,607.0,3
8,2268.0,3
8,1899.0,4
8,1285.0,5
8,1842.0,4
8,890.0,3
8,320.0,3
9,1796.0,5
9,476.0,4
9,1800.0,3
9,2313.0,5
9,2314.0,3
9,1123.0,5
9,1161.0,4
9,892.0,3
9,1430.0,3
9,1431.0,5
9,832.0,3
9,1369.0,4
9,834.0,3
9,835.0,5
9,507.0,5
9,2681.0,3
9,836.0,3
9,2682.0,3
9,838.0,3
9,2417.0,5
9,839.0,5
9,2418.0,5
9,2072.0,4
9,841.0,3
9,478.0,4
9,1193.0,5
9,2318.0,5
9,445.0,3
9,446.0,5
9,2371.0,3
9,447.0,4
9,2372.0,2
9,448.0,4
9,1130.0,4
9,2280.0,4
9,165.0,2
9,104.0,5
9,1709.0,4
9,0.0,5
9,1710.0,4
9,1.0,5
9,1711.0,4
9,107.0,3
9,6.0,4
9,1435.0,4
9,1437.0,4
9,2740.0,4
9,1438.0,4
9,1439.0,4
9,960.0,4
9,544.0,5
9,1440.0,3
9,961.0,5
9,1378.0,3
9,847.0,5
9,906.0,5
9,851.0,5
9,782.0,5
9,449.0,5
9,783.0,5
9,784.0,5
9,1806.0,5
9,450.0,4
9,452.0,5
9,1861.0,4
9,453.0,5
9,1862.0,4
9,1765.0,5
9,454.0,4
9,2378.0,5
9,455.0,4
9,1248.0,3
9,1442.0,5
9,963.0,4
9,1383.0,4
9,852.0,4
9,853.0,5
9,911.0,3
9,1387.0,3
9,1388.0,4
9,858.0,3
9,519.0,3
9,486.0,3
9,860.0,5
9,520.0,5
9,2381.0,5
9,2437.0,2
9,1251.0,4
9,1253.0,5
9,1256.0,3
9,2328.0,4
9,1818.0,4
9,2330.0,3
9,1172.0,5
9,238.0,5
9,239.0,4
9,240.0,4
9,183.0,5
9,1389.0,4
9,1390.0,5
9,1391.0,3
9,864.0,5
9,921.0,5
9,865.0,3
9,523.0,4
9,922.0,5
9,1395.0,5
9,868.0,5
9,869.0,3
9,1933.0,5
9,2494.0,3
9,1822.0,4
9,2391.0,5
9,2154.0,3
9,1546.0,5
9,187.0,5
9,132.0,2
9,1781.0,5
